,length,condition,lat,lon,intersection,model_type,id,road
716,4.5,A,21.6480847609561,92.0733292227091,,bridge,10716,N1
717,3180.999999999983,NaN,21.635309974483498,92.07351634977415,,link,10717,N1
718,1.45,B,21.6225351880109,92.0737034768392,,bridge,10718,N1
719,667.00000000003,NaN,21.62045592420595,92.07143740721655,,link,10719,N1
720,44.55,A,21.618376660401,92.0691713375939,,bridge,10720,N1
721,914.9999999999636,NaN,21.612447813701102,92.06573920355225,,link,10721,N1
722,7.0,A,21.6065189670012,92.0623070695106,,bridge,10722,N1
723,316.0000000000309,NaN,21.605847139899552,92.06221343914675,,link,10723,N1
724,5.2,A,21.6051753127979,92.0621198087829,,bridge,10724,N1
725,637.9999999999768,NaN,21.601884421474303,92.06196052499445,,link,10725,N1
726,9.3,A,21.5985935301507,92.061801241206,,bridge,10726,N1
727,436.00000000003547,NaN,21.5973336137464,92.06160539103485,,link,10727,N1
728,14.0,A,21.5960736973421,92.0614095408637,,bridge,10728,N1
729,576.9999999999982,NaN,21.59275233568085,92.06222044592205,,link,10729,N1
730,1.4,A,21.5894309740196,92.0630313509804,,bridge,10730,N1
731,520.9999999999582,NaN,21.5885168870098,92.0639680683473,,link,10731,N1
732,4.5,C,21.5876028,92.0649047857142,,bridge,10732,N1
733,532.0000000000391,NaN,21.58533846251705,92.0653103161129,,link,10733,N1
734,2.5,A,21.5830741250341,92.0657158465116,,bridge,10734,N1
735,1044.999999999959,NaN,21.578740820662098,92.06823025886814,,link,10735,N1
736,12.4,A,21.5744075162901,92.0707446712247,,bridge,10736,N1
737,1522.0000000000482,NaN,21.56836384258945,92.0702792982049,,link,10737,N1
738,9.5,A,21.5623201688888,92.0698139251851,,bridge,10738,N1
739,255.9999999999718,NaN,21.5613122142031,92.06948076259255,,link,10739,N1
740,4.8,A,21.5603042595174,92.0691476,,bridge,10740,N1
741,113.9999999999759,NaN,21.5598967553619,92.06904785,,link,10741,N1
742,7.0,A,21.5594892512064,92.0689481,,bridge,10742,N1
743,633.0000000000382,NaN,21.557457431725602,92.0684492122449,,link,10743,N1
744,46.0,A,21.5554256122448,92.0679503244898,,bridge,10744,N1
745,765.9999999999627,NaN,21.55124610940105,92.06742284994979,,link,10745,N1
